Precinct_name,Split_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,absentee_ballots,absentee_votes,absentee_under_votes,absentee_over_votes,early_ballots,early_votes,early_under_votes,early_over_votes,election_ballots,election_votes,election_under_votes,election_over_votes
1 HOLLIDAY,,1,13,1,1,1348,0.51,1,2,Straight Party,,1,1,Republican (REP),C,1,REP,688,392,257,0,0,0,0,0,330,180,136,0,358,212,121,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,1,2,Straight Party,,1,2,Democrat (DEM),C,2,DEM,688,36,257,0,0,0,0,0,330,14,136,0,358,22,121,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,1,2,Straight Party,,1,3,Libertarian (LIB),C,3,LIB,688,3,257,0,0,0,0,0,330,0,136,0,358,3,121,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,2,3,United States Senator,,1,1,Ted Cruz,C,1,REP,688,608,14,0,0,0,0,0,330,295,7,0,358,313,7,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,2,3,United States Senator,,1,2,Beto O'Rourke,C,2,DEM,688,61,14,0,0,0,0,0,330,26,7,0,358,35,7,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,2,3,United States Senator,,1,3,Neal M. Dikeman,C,3,LIB,688,5,14,0,0,0,0,0,330,2,7,0,358,3,7,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,3,4,United States Representative District 13,,1,1,Mac Thornberry,C,1,REP,688,617,14,0,0,0,0,0,330,295,11,0,358,322,3,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,3,4,United States Representative District 13,,1,2,Greg Sagan,C,2,DEM,688,49,14,0,0,0,0,0,330,20,11,0,358,29,3,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,3,4,United States Representative District 13,,1,3,Calvin DeWeese,C,3,LIB,688,8,14,0,0,0,0,0,330,4,11,0,358,4,3,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,4,5,Governor,,1,1,Greg Abbott,C,1,REP,688,615,10,0,0,0,0,0,330,291,9,0,358,324,1,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,4,5,Governor,,1,2,Lupe Valdez,C,2,DEM,688,61,10,0,0,0,0,0,330,29,9,0,358,32,1,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,4,5,Governor,,1,3,Mark Jay Tippetts,C,3,LIB,688,2,10,0,0,0,0,0,330,1,9,0,358,1,1,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,5,6,Lieutenant Governor,,1,1,Dan Patrick,C,1,REP,688,577,10,0,0,0,0,0,330,285,7,0,358,292,3,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,5,6,Lieutenant Governor,,1,2,Mike Collier,C,2,DEM,688,93,10,0,0,0,0,0,330,36,7,0,358,57,3,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,5,6,Lieutenant Governor,,1,3,Kerry Douglas McKennon,C,3,LIB,688,8,10,0,0,0,0,0,330,2,7,0,358,6,3,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,6,7,Attorney General,,1,1,Ken Paxton,C,1,REP,688,600,9,0,0,0,0,0,330,288,5,0,358,312,4,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,6,7,Attorney General,,1,2,Justin Nelson,C,2,DEM,688,68,9,0,0,0,0,0,330,30,5,0,358,38,4,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,6,7,Attorney General,,1,3,Michael Ray Harris,C,3,LIB,688,11,9,0,0,0,0,0,330,7,5,0,358,4,4,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,7,8,Comptroller of Public Accounts,,1,1,Glenn Hegar,C,1,REP,688,600,16,0,0,0,0,0,330,292,7,0,358,308,9,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,7,8,Comptroller of Public Accounts,,1,2,Joi Chevalier,C,2,DEM,688,58,16,0,0,0,0,0,330,26,7,0,358,32,9,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,7,8,Comptroller of Public Accounts,,1,3,Ben Sanders,C,3,LIB,688,14,16,0,0,0,0,0,330,5,7,0,358,9,9,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,8,9,Commissioner of the General Land Office,,1,1,George P. Bush,C,1,REP,688,591,14,0,0,0,0,0,330,281,9,0,358,310,5,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,8,9,Commissioner of the General Land Office,,1,2,Miguel Suazo,C,2,DEM,688,66,14,0,0,0,0,0,330,31,9,0,358,35,5,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,8,9,Commissioner of the General Land Office,,1,3,Matt Pina,C,3,LIB,688,17,14,0,0,0,0,0,330,9,9,0,358,8,5,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,33,10,Commissioner of Agriculture,,1,1,Sid Miller,C,1,REP,688,594,18,0,0,0,0,0,330,285,10,0,358,309,8,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,33,10,Commissioner of Agriculture,,1,2,Kim Olson,C,2,DEM,688,68,18,0,0,0,0,0,330,31,10,0,358,37,8,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,33,10,Commissioner of Agriculture,,1,3,Richard Carpenter,C,3,LIB,688,8,18,0,0,0,0,0,330,4,10,0,358,4,8,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,9,11,Railroad Commissioner,,1,1,Christi Craddick,C,1,REP,688,604,17,0,0,0,0,0,330,291,9,0,358,313,8,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,9,11,Railroad Commissioner,,1,2,Roman McAllen,C,2,DEM,688,56,17,0,0,0,0,0,330,24,9,0,358,32,8,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,9,11,Railroad Commissioner,,1,3,Mike Wright,C,3,LIB,688,11,17,0,0,0,0,0,330,6,9,0,358,5,8,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,10,12,"Justice, Supreme Court, Place 2",,1,1,Jimmy Blacklock,C,1,REP,688,610,14,0,0,0,0,0,330,293,9,0,358,317,5,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,10,12,"Justice, Supreme Court, Place 2",,1,2,Steven Kirkland,C,2,DEM,688,64,14,0,0,0,0,0,330,28,9,0,358,36,5,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,11,13,"Justice, Supreme Court Place 4",,1,1,John Devine,C,1,REP,688,610,20,0,0,0,0,0,330,291,12,0,358,319,8,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,11,13,"Justice, Supreme Court Place 4",,1,2,R. K. Sandill,C,2,DEM,688,58,20,0,0,0,0,0,330,27,12,0,358,31,8,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,12,14,"Justice, Supreme Court Place 6",,1,1,Jeff Brown,C,1,REP,688,609,21,0,0,0,0,0,330,293,13,0,358,316,8,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,12,14,"Justice, Supreme Court Place 6",,1,2,Kathy Cheng,C,2,DEM,688,58,21,0,0,0,0,0,330,24,13,0,358,34,8,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,13,15,"Presiding Judge, Court of Criminal Appeals",,1,1,Sharon Keller,C,1,REP,688,598,22,0,0,0,0,0,330,291,11,0,358,307,11,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,13,15,"Presiding Judge, Court of Criminal Appeals",,1,2,Maria T. (Terri) Jackson,C,2,DEM,688,61,22,0,0,0,0,0,330,25,11,0,358,36,11,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,13,15,"Presiding Judge, Court of Criminal Appeals",,1,3,William Bryan Strange III,C,3,LIB,688,7,22,0,0,0,0,0,330,3,11,0,358,4,11,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,14,16,"Judge, Court of Criminal Appeals, Place 7",,1,1,Barbara Parker Hervey,C,1,REP,688,607,24,0,0,0,0,0,330,292,12,0,358,315,12,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,14,16,"Judge, Court of Criminal Appeals, Place 7",,1,2,Ramona Franklin,C,2,DEM,688,57,24,0,0,0,0,0,330,26,12,0,358,31,12,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,15,17,"Judge, Court of Criminal Appeals, Place 8",,1,1,Michelle Slaughter,C,1,REP,688,607,56,0,0,0,0,0,330,293,26,0,358,314,30,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,15,17,"Judge, Court of Criminal Appeals, Place 8",,1,2,Mark Ash,C,2,LIB,688,25,56,0,0,0,0,0,330,11,26,0,358,14,30,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,16,18,"State Senator, District 30",,1,1,Pat Fallon,C,1,REP,688,611,14,0,0,0,0,0,330,294,9,0,358,317,5,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,16,18,"State Senator, District 30",,1,2,Kevin Lopez,C,2,DEM,688,63,14,0,0,0,0,0,330,27,9,0,358,36,5,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,17,19,State Representative District 69,,1,1,James Frank,C,1,REP,688,620,68,0,0,0,0,0,330,295,35,0,358,325,33,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,18,20,"Chief Justice, 2nd  Court of Appeals District",,1,1,Bonnie Sudderth,C,1,REP,688,615,73,0,0,0,0,0,330,294,36,0,358,321,37,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,19,21,"Justice, 2nd  Court of Appeals District, Place 4",,1,1,Wade Birdwell,C,1,REP,688,616,72,0,0,0,0,0,330,296,34,0,358,320,38,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,20,22,"Justice, 2nd Court of Appeals District, Place 5",,1,1,Dabney Bassel,C,1,REP,688,603,27,0,0,0,0,0,330,291,13,0,358,312,14,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,20,22,"Justice, 2nd Court of Appeals District, Place 5",,1,2,Delonia A. Watson,C,2,DEM,688,58,27,0,0,0,0,0,330,26,13,0,358,32,14,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,21,23,"Justice, 2nd Court of Appeals District, Place 6",,1,1,Mark Pittman,C,1,REP,688,616,72,0,0,0,0,0,330,295,35,0,358,321,37,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,22,24,County Judge,,1,1,Randall C. (Randy) Jackson,C,1,REP,688,617,71,0,0,0,0,0,330,294,36,0,358,323,35,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,23,25,District Clerk,,1,1,Lori Stubbs Rutledge,C,1,REP,688,624,64,0,0,0,0,0,330,301,29,0,358,323,35,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,24,26,County Clerk,,1,1,Karren Winter,C,1,REP,688,624,64,0,0,0,0,0,330,302,28,0,358,322,36,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,25,27,County Treasurer,,1,1,Patricia ( P. A. ) Vieth,C,1,REP,688,619,69,0,0,0,0,0,330,297,33,0,358,322,36,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,27,29,"County Commissioner, Precinct 4",,1,1,Darryl Lightfoot,C,1,REP,688,620,68,0,0,0,0,0,330,300,30,0,358,320,38,0
1 HOLLIDAY,,1,13,1,1,1348,0.51,29,31,"Justice of the Peace, Precinct 2",,1,1,Corky Scarbrough,C,1,REP,688,632,56,0,0,0,0,0,330,306,24,0,358,326,32,0
2 BOWMAN,,1,15,2,2,910,0.65,1,2,Straight Party,,1,1,Republican (REP),C,1,REP,593,334,235,0,0,0,0,0,337,194,124,0,256,140,111,0
2 BOWMAN,,1,15,2,2,910,0.65,1,2,Straight Party,,1,2,Democrat (DEM),C,2,DEM,593,24,235,0,0,0,0,0,337,19,124,0,256,5,111,0
2 BOWMAN,,1,15,2,2,910,0.65,1,2,Straight Party,,1,3,Libertarian (LIB),C,3,LIB,593,0,235,0,0,0,0,0,337,0,124,0,256,0,111,0
2 BOWMAN,,1,15,2,2,910,0.65,2,3,United States Senator,,1,1,Ted Cruz,C,1,REP,593,529,6,0,0,0,0,0,337,301,3,0,256,228,3,0
2 BOWMAN,,1,15,2,2,910,0.65,2,3,United States Senator,,1,2,Beto O'Rourke,C,2,DEM,593,56,6,0,0,0,0,0,337,33,3,0,256,23,3,0
2 BOWMAN,,1,15,2,2,910,0.65,2,3,United States Senator,,1,3,Neal M. Dikeman,C,3,LIB,593,2,6,0,0,0,0,0,337,0,3,0,256,2,3,0
2 BOWMAN,,1,15,2,2,910,0.65,3,4,United States Representative District 13,,1,1,Mac Thornberry,C,1,REP,593,528,6,0,0,0,0,0,337,297,3,0,256,231,3,0
2 BOWMAN,,1,15,2,2,910,0.65,3,4,United States Representative District 13,,1,2,Greg Sagan,C,2,DEM,593,48,6,0,0,0,0,0,337,31,3,0,256,17,3,0
2 BOWMAN,,1,15,2,2,910,0.65,3,4,United States Representative District 13,,1,3,Calvin DeWeese,C,3,LIB,593,11,6,0,0,0,0,0,337,6,3,0,256,5,3,0
2 BOWMAN,,1,15,2,2,910,0.65,4,5,Governor,,1,1,Greg Abbott,C,1,REP,593,537,4,0,0,0,0,0,337,302,2,0,256,235,2,0
2 BOWMAN,,1,15,2,2,910,0.65,4,5,Governor,,1,2,Lupe Valdez,C,2,DEM,593,47,4,0,0,0,0,0,337,32,2,0,256,15,2,0
2 BOWMAN,,1,15,2,2,910,0.65,4,5,Governor,,1,3,Mark Jay Tippetts,C,3,LIB,593,5,4,0,0,0,0,0,337,1,2,0,256,4,2,0
2 BOWMAN,,1,15,2,2,910,0.65,5,6,Lieutenant Governor,,1,1,Dan Patrick,C,1,REP,593,521,4,0,0,0,0,0,337,293,2,0,256,228,2,0
2 BOWMAN,,1,15,2,2,910,0.65,5,6,Lieutenant Governor,,1,2,Mike Collier,C,2,DEM,593,62,4,0,0,0,0,0,337,40,2,0,256,22,2,0
2 BOWMAN,,1,15,2,2,910,0.65,5,6,Lieutenant Governor,,1,3,Kerry Douglas McKennon,C,3,LIB,593,6,4,0,0,0,0,0,337,2,2,0,256,4,2,0
2 BOWMAN,,1,15,2,2,910,0.65,6,7,Attorney General,,1,1,Ken Paxton,C,1,REP,593,520,5,0,0,0,0,0,337,294,2,0,256,226,3,0
2 BOWMAN,,1,15,2,2,910,0.65,6,7,Attorney General,,1,2,Justin Nelson,C,2,DEM,593,57,5,0,0,0,0,0,337,36,2,0,256,21,3,0
2 BOWMAN,,1,15,2,2,910,0.65,6,7,Attorney General,,1,3,Michael Ray Harris,C,3,LIB,593,11,5,0,0,0,0,0,337,5,2,0,256,6,3,0
2 BOWMAN,,1,15,2,2,910,0.65,7,8,Comptroller of Public Accounts,,1,1,Glenn Hegar,C,1,REP,593,524,10,0,0,0,0,0,337,298,5,0,256,226,5,0
2 BOWMAN,,1,15,2,2,910,0.65,7,8,Comptroller of Public Accounts,,1,2,Joi Chevalier,C,2,DEM,593,51,10,0,0,0,0,0,337,32,5,0,256,19,5,0
2 BOWMAN,,1,15,2,2,910,0.65,7,8,Comptroller of Public Accounts,,1,3,Ben Sanders,C,3,LIB,593,8,10,0,0,0,0,0,337,2,5,0,256,6,5,0
2 BOWMAN,,1,15,2,2,910,0.65,8,9,Commissioner of the General Land Office,,1,1,George P. Bush,C,1,REP,593,511,13,0,0,0,0,0,337,285,6,0,256,226,7,0
2 BOWMAN,,1,15,2,2,910,0.65,8,9,Commissioner of the General Land Office,,1,2,Miguel Suazo,C,2,DEM,593,48,13,0,0,0,0,0,337,34,6,0,256,14,7,0
2 BOWMAN,,1,15,2,2,910,0.65,8,9,Commissioner of the General Land Office,,1,3,Matt Pina,C,3,LIB,593,21,13,0,0,0,0,0,337,12,6,0,256,9,7,0
2 BOWMAN,,1,15,2,2,910,0.65,33,10,Commissioner of Agriculture,,1,1,Sid Miller,C,1,REP,593,518,10,0,0,0,0,0,337,295,5,0,256,223,5,0
2 BOWMAN,,1,15,2,2,910,0.65,33,10,Commissioner of Agriculture,,1,2,Kim Olson,C,2,DEM,593,60,10,0,0,0,0,0,337,35,5,0,256,25,5,0
2 BOWMAN,,1,15,2,2,910,0.65,33,10,Commissioner of Agriculture,,1,3,Richard Carpenter,C,3,LIB,593,5,10,0,0,0,0,0,337,2,5,0,256,3,5,0
2 BOWMAN,,1,15,2,2,910,0.65,9,11,Railroad Commissioner,,1,1,Christi Craddick,C,1,REP,593,523,11,0,0,0,0,0,337,297,6,0,256,226,5,0
2 BOWMAN,,1,15,2,2,910,0.65,9,11,Railroad Commissioner,,1,2,Roman McAllen,C,2,DEM,593,52,11,0,0,0,0,0,337,31,6,0,256,21,5,0
2 BOWMAN,,1,15,2,2,910,0.65,9,11,Railroad Commissioner,,1,3,Mike Wright,C,3,LIB,593,7,11,0,0,0,0,0,337,3,6,0,256,4,5,0
2 BOWMAN,,1,15,2,2,910,0.65,10,12,"Justice, Supreme Court, Place 2",,1,1,Jimmy Blacklock,C,1,REP,593,527,9,0,0,0,0,0,337,298,4,0,256,229,5,0
2 BOWMAN,,1,15,2,2,910,0.65,10,12,"Justice, Supreme Court, Place 2",,1,2,Steven Kirkland,C,2,DEM,593,57,9,0,0,0,0,0,337,35,4,0,256,22,5,0
2 BOWMAN,,1,15,2,2,910,0.65,11,13,"Justice, Supreme Court Place 4",,1,1,John Devine,C,1,REP,593,525,10,0,0,0,0,0,337,299,4,0,256,226,6,0
2 BOWMAN,,1,15,2,2,910,0.65,11,13,"Justice, Supreme Court Place 4",,1,2,R. K. Sandill,C,2,DEM,593,58,10,0,0,0,0,0,337,34,4,0,256,24,6,0
2 BOWMAN,,1,15,2,2,910,0.65,12,14,"Justice, Supreme Court Place 6",,1,1,Jeff Brown,C,1,REP,593,527,9,0,0,0,0,0,337,301,4,0,256,226,5,0
2 BOWMAN,,1,15,2,2,910,0.65,12,14,"Justice, Supreme Court Place 6",,1,2,Kathy Cheng,C,2,DEM,593,57,9,0,0,0,0,0,337,32,4,0,256,25,5,0
2 BOWMAN,,1,15,2,2,910,0.65,13,15,"Presiding Judge, Court of Criminal Appeals",,1,1,Sharon Keller,C,1,REP,593,517,13,0,0,0,0,0,337,295,5,0,256,222,8,0
2 BOWMAN,,1,15,2,2,910,0.65,13,15,"Presiding Judge, Court of Criminal Appeals",,1,2,Maria T. (Terri) Jackson,C,2,DEM,593,57,13,0,0,0,0,0,337,35,5,0,256,22,8,0
2 BOWMAN,,1,15,2,2,910,0.65,13,15,"Presiding Judge, Court of Criminal Appeals",,1,3,William Bryan Strange III,C,3,LIB,593,6,13,0,0,0,0,0,337,2,5,0,256,4,8,0
2 BOWMAN,,1,15,2,2,910,0.65,14,16,"Judge, Court of Criminal Appeals, Place 7",,1,1,Barbara Parker Hervey,C,1,REP,593,521,13,0,0,0,0,0,337,295,6,0,256,226,7,0
2 BOWMAN,,1,15,2,2,910,0.65,14,16,"Judge, Court of Criminal Appeals, Place 7",,1,2,Ramona Franklin,C,2,DEM,593,59,13,0,0,0,0,0,337,36,6,0,256,23,7,0
2 BOWMAN,,1,15,2,2,910,0.65,15,17,"Judge, Court of Criminal Appeals, Place 8",,1,1,Michelle Slaughter,C,1,REP,593,529,38,0,0,0,0,0,337,300,24,0,256,229,14,0
2 BOWMAN,,1,15,2,2,910,0.65,15,17,"Judge, Court of Criminal Appeals, Place 8",,1,2,Mark Ash,C,2,LIB,593,26,38,0,0,0,0,0,337,13,24,0,256,13,14,0
2 BOWMAN,,1,15,2,2,910,0.65,16,18,"State Senator, District 30",,1,1,Pat Fallon,C,1,REP,593,524,9,0,0,0,0,0,337,297,5,0,256,227,4,0
2 BOWMAN,,1,15,2,2,910,0.65,16,18,"State Senator, District 30",,1,2,Kevin Lopez,C,2,DEM,593,60,9,0,0,0,0,0,337,35,5,0,256,25,4,0
2 BOWMAN,,1,15,2,2,910,0.65,17,19,State Representative District 69,,1,1,James Frank,C,1,REP,593,547,46,0,0,0,0,0,337,306,31,0,256,241,15,0
2 BOWMAN,,1,15,2,2,910,0.65,18,20,"Chief Justice, 2nd  Court of Appeals District",,1,1,Bonnie Sudderth,C,1,REP,593,537,56,0,0,0,0,0,337,303,34,0,256,234,22,0
2 BOWMAN,,1,15,2,2,910,0.65,19,21,"Justice, 2nd  Court of Appeals District, Place 4",,1,1,Wade Birdwell,C,1,REP,593,538,55,0,0,0,0,0,337,305,32,0,256,233,23,0
2 BOWMAN,,1,15,2,2,910,0.65,20,22,"Justice, 2nd Court of Appeals District, Place 5",,1,1,Dabney Bassel,C,1,REP,593,516,18,0,0,0,0,0,337,293,8,0,256,223,10,0
2 BOWMAN,,1,15,2,2,910,0.65,20,22,"Justice, 2nd Court of Appeals District, Place 5",,1,2,Delonia A. Watson,C,2,DEM,593,59,18,0,0,0,0,0,337,36,8,0,256,23,10,0
2 BOWMAN,,1,15,2,2,910,0.65,21,23,"Justice, 2nd Court of Appeals District, Place 6",,1,1,Mark Pittman,C,1,REP,593,539,54,0,0,0,0,0,337,304,33,0,256,235,21,0
2 BOWMAN,,1,15,2,2,910,0.65,22,24,County Judge,,1,1,Randall C. (Randy) Jackson,C,1,REP,593,543,50,0,0,0,0,0,337,305,32,0,256,238,18,0
2 BOWMAN,,1,15,2,2,910,0.65,23,25,District Clerk,,1,1,Lori Stubbs Rutledge,C,1,REP,593,545,48,0,0,0,0,0,337,308,29,0,256,237,19,0
2 BOWMAN,,1,15,2,2,910,0.65,24,26,County Clerk,,1,1,Karren Winter,C,1,REP,593,545,48,0,0,0,0,0,337,306,31,0,256,239,17,0
2 BOWMAN,,1,15,2,2,910,0.65,25,27,County Treasurer,,1,1,Patricia ( P. A. ) Vieth,C,1,REP,593,544,49,0,0,0,0,0,337,305,32,0,256,239,17,0
2 BOWMAN,,1,15,2,2,910,0.65,29,31,"Justice of the Peace, Precinct 2",,1,1,Corky Scarbrough,C,1,REP,593,550,43,0,0,0,0,0,337,309,28,0,256,241,15,0
3 SCOTLAND,,1,14,3,3,386,0.58,1,2,Straight Party,,1,1,Republican (REP),C,1,REP,222,116,97,0,0,0,0,0,56,35,21,0,166,81,76,0
3 SCOTLAND,,1,14,3,3,386,0.58,1,2,Straight Party,,1,2,Democrat (DEM),C,2,DEM,222,9,97,0,0,0,0,0,56,0,21,0,166,9,76,0
3 SCOTLAND,,1,14,3,3,386,0.58,1,2,Straight Party,,1,3,Libertarian (LIB),C,3,LIB,222,0,97,0,0,0,0,0,56,0,21,0,166,0,76,0
3 SCOTLAND,,1,14,3,3,386,0.58,2,3,United States Senator,,1,1,Ted Cruz,C,1,REP,222,193,0,0,0,0,0,0,56,49,0,0,166,144,0,0
3 SCOTLAND,,1,14,3,3,386,0.58,2,3,United States Senator,,1,2,Beto O'Rourke,C,2,DEM,222,27,0,0,0,0,0,0,56,6,0,0,166,21,0,0
3 SCOTLAND,,1,14,3,3,386,0.58,2,3,United States Senator,,1,3,Neal M. Dikeman,C,3,LIB,222,2,0,0,0,0,0,0,56,1,0,0,166,1,0,0
3 SCOTLAND,,1,14,3,3,386,0.58,3,4,United States Representative District 13,,1,1,Mac Thornberry,C,1,REP,222,195,1,0,0,0,0,0,56,49,0,0,166,146,1,0
3 SCOTLAND,,1,14,3,3,386,0.58,3,4,United States Representative District 13,,1,2,Greg Sagan,C,2,DEM,222,25,1,0,0,0,0,0,56,6,0,0,166,19,1,0
3 SCOTLAND,,1,14,3,3,386,0.58,3,4,United States Representative District 13,,1,3,Calvin DeWeese,C,3,LIB,222,1,1,0,0,0,0,0,56,1,0,0,166,0,1,0
