ATASC,5,VB #5,0,0,0,0,130,81,49,0,0,0,77,0,0,1,0,0,2,0,1,7,10,55,4,2,0,3,75,0,6,62,16,0,3,74,0,7,74,0,7,74,0,7,75,0,6,39,36,0,6,76,0,5,75,0,6,75,0,6,73,0,8,0,0,0,71,0,10,73,0,8,74,0,7,72,0,9,68,11,0,2,76,0,5,76,0,5,7,31,40,0,3,0,0,0,0,0,0,0,0,0,0,0,43,32,0,6,52,25,0,4,0,0,0,0,0,0,0,0,66,14,0,1,70,10,0,1,77,3,0,1,74,5,0,2,77,1,0,3,73,6,0,2,78,1,0,2,78,1,0,2,73,6,0,2,72,8,0,1,0,0,10,4,15,0,0,0,0,0,0,11,0,0,0,4,5,0,0,14,1,5,0,2,1,1,5,8,0,1,8,0,3,23,26,0,0,22,4,4,15,0,4,34,11,0,4,11,33,0,5,21,23,0,5,8,37,0,4,33,9,2,0,5,37,8,0,4,43,0,6,45,0,4,18,6,24,0,1,0,0,0,46,0,3,44,0,5,48,0,1,45,0,4,0,0,0,0,0,0,0,46,0,3,48,1,0,0,47,1,0,1,49,0,0,0,48,0,0,1,48,0,0,1,48,0,0,1,47,1,0,1,48,0,0,1,48,0,0,1,47,0,0,2,43,5,0,1
ATASC,5,VB #5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATASC,5,VB #5,0,0,0,0,25,6,19,0,0,0,4,2,0,0,0,0,0,0,0,0,0,4,2,0,0,0,6,0,0,4,2,0,0,6,0,0,6,0,0,6,0,0,6,0,0,2,4,0,0,6,0,0,6,0,0,6,0,0,6,0,0,0,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,0,6,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,0,0,7,0,1,0,0,0,2,0,0,4,0,0,0,2,2,1,0,2,0,0,0,2,2,0,0,3,1,0,6,0,3,7,12,0,0,10,0,0,7,0,2,16,1,0,2,5,10,0,4,4,11,0,4,3,11,0,5,10,5,0,0,4,11,4,0,4,13,0,6,14,0,5,7,1,7,0,4,0,0,0,15,0,4,14,0,5,15,0,4,14,0,5,0,0,0,0,0,0,0,10,0,9,17,0,0,2,17,0,0,2,17,0,0,2,17,0,0,2,16,0,0,3,16,1,0,2,17,0,0,2,17,0,0,2,17,0,0,2,17,0,0,2,14,3,0,2
ATASC,5,VB #5,0,0,0,0,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0
ATASC,6,VB #6,0,0,0,0,10,8,2,0,0,0,7,0,0,0,0,0,1,0,0,3,2,2,0,1,0,0,6,0,2,7,1,0,0,7,0,1,7,0,1,7,0,1,7,0,1,3,5,0,0,7,0,1,7,0,1,7,0,1,0,0,0,8,0,0,7,0,1,7,0,1,7,0,1,8,0,0,7,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,1,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,2,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0
ATASC,6,VB #6,0,0,0,0,20,18,2,0,0,0,18,0,0,0,0,0,0,0,0,2,2,14,0,0,0,0,17,0,1,18,0,0,0,18,0,0,18,0,0,18,0,0,18,0,0,9,9,0,0,18,0,0,18,0,0,18,0,0,0,0,0,18,0,0,18,0,0,18,0,0,18,0,0,18,0,0,17,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,18,0,0,0,16,1,0,1,18,0,0,0,17,1,0,0,17,0,0,1,17,0,0,1,17,0,0,1,17,0,0,1,16,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,1,1,0,0,2,0,0,0,1,1,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0
ATASC,6,VB #6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATASC,6,VB #6,0,0,0,0,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0
ATASC,6,VB #6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATASC,7,VB #7,0,0,0,0,227,142,85,0,0,0,134,0,0,1,0,0,3,0,4,27,14,78,13,1,0,9,130,0,12,101,33,0,8,131,0,11,129,0,13,129,0,13,131,0,11,56,73,0,13,130,0,12,131,0,11,129,0,13,135,0,7,0,0,0,130,0,12,127,0,15,131,0,11,135,0,7,117,24,0,1,135,0,7,139,0,3,30,59,49,0,4,0,0,0,0,0,0,0,0,0,0,0,82,50,0,10,0,0,0,0,0,0,0,0,0,0,0,0,121,18,0,3,119,18,0,5,128,7,0,7,131,6,0,5,128,10,0,4,131,6,0,5,134,3,0,5,136,1,0,5,126,11,0,5,128,8,0,6,0,0,16,0,25,0,0,0,1,1,0,11,0,1,0,0,29,0,1,10,7,9,1,2,4,3,10,21,1,1,4,0,12,41,42,0,2,38,9,11,20,0,7,59,16,0,10,28,50,0,7,36,41,0,8,24,53,0,8,51,19,6,0,9,60,17,0,8,70,0,15,75,0,10,39,5,36,0,5,0,0,0,78,0,7,72,0,13,83,0,2,70,0,15,0,0,0,0,0,0,0,72,0,13,81,3,0,1,78,3,0,4,80,1,0,4,78,3,0,4,78,3,0,4,84,0,0,1,77,3,0,5,78,3,0,4,80,2,0,3,79,3,0,3,76,4,0,5
ATASC,7,VB #7,0,0,0,0,104,77,27,0,0,0,75,0,0,0,1,0,1,0,0,8,2,58,5,0,0,4,75,0,2,52,20,0,5,73,0,4,72,0,5,72,0,5,71,0,6,36,32,0,9,68,0,9,68,0,9,68,0,9,67,0,10,0,0,0,67,0,10,68,0,9,69,0,8,68,0,9,67,6,0,4,74,0,3,73,0,4,13,30,31,0,3,0,0,0,0,0,0,0,0,0,0,0,45,22,0,10,0,0,0,0,0,0,0,0,0,0,0,0,61,15,0,1,62,14,0,1,68,7,0,2,70,5,0,2,68,7,0,2,71,5,0,1,74,2,0,1,74,2,0,1,69,3,0,5,66,9,0,2,0,0,1,1,10,0,0,0,3,0,1,1,0,1,1,3,5,0,0,6,1,2,2,0,1,0,4,5,0,2,4,0,0,11,16,0,0,13,5,4,5,0,0,20,6,0,1,11,16,0,0,8,17,0,2,8,19,0,0,17,6,3,0,1,23,3,0,1,24,0,3,24,0,3,10,4,13,0,0,0,0,0,24,0,3,25,0,2,26,0,1,22,0,5,0,0,0,0,0,0,0,24,0,3,23,4,0,0,24,3,0,0,25,2,0,0,25,1,0,1,25,1,0,1,26,1,0,0,24,2,0,1,25,2,0,0,24,2,0,1,23,3,0,1,23,3,0,1
ATASC,7,VB #7,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATASC,7,VB #7,0,0,0,0,15,2,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,4,0,0,0,0,0,0,1,0,0,0,0,3,0,1,2,0,0,0,0,0,0,3,3,0,1,1,0,3,6,6,0,1,2,0,3,4,0,4,9,1,0,3,5,4,0,4,5,4,0,4,2,7,0,4,6,0,3,0,4,9,2,0,2,8,0,5,8,0,5,8,0,3,0,2,0,0,0,10,0,3,10,0,3,10,0,3,11,0,2,0,0,0,0,0,0,0,4,0,9,13,0,0,0,13,0,0,0,13,0,0,0,11,0,0,2,12,0,0,1,12,0,0,1,11,1,0,1,11,0,0,2,11,0,0,2,13,0,0,0,11,2,0,0
ATASC,7,VB #7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
ATASC,8,VB #8,0,0,0,0,80,44,36,0,1,0,41,0,0,1,0,0,1,0,1,5,2,34,2,1,0,0,42,0,2,37,7,0,0,42,0,2,42,0,2,43,0,1,43,0,1,22,21,0,1,43,0,1,43,0,1,42,0,2,42,0,2,0,0,0,42,0,2,43,0,1,43,0,1,43,0,1,33,11,0,0,43,0,1,0,0,0,0,0,0,0,0,41,0,3,0,0,0,0,0,0,0,0,27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,0,0,38,6,0,0,39,4,0,1,41,3,0,0,36,7,0,1,43,1,0,0,44,0,0,0,44,0,0,0,41,2,0,1,38,3,0,3,1,0,9,0,9,0,0,0,2,0,0,3,0,2,0,0,7,0,3,5,4,4,1,0,2,1,1,8,0,0,2,0,8,9,26,0,1,19,5,3,3,0,6,17,12,0,7,13,14,0,9,14,15,0,7,13,15,0,8,16,10,3,0,7,20,9,0,7,28,0,8,29,0,7,16,8,9,0,3,0,0,0,32,0,4,30,0,6,33,0,3,0,0,0,0,0,0,0,0,0,0,29,0,7,29,4,0,3,29,4,0,3,31,1,0,4,30,3,0,3,31,2,0,3,33,0,0,3,27,4,0,5,31,1,0,4,32,1,0,3,27,5,0,4,29,3,0,4
ATASC,8,VB #8,0,0,0,0,66,40,26,0,0,0,40,0,0,0,0,0,0,0,0,4,7,25,3,0,0,1,37,0,3,23,11,0,6,38,0,2,39,0,1,38,0,2,37,0,3,16,20,0,4,38,0,2,38,0,2,39,0,1,38,0,2,0,0,0,38,0,2,38,0,2,38,0,2,36,0,4,28,12,0,0,40,0,0,0,0,0,0,0,0,0,0,36,0,4,0,0,0,0,0,0,0,0,22,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,33,7,0,0,33,7,0,0,37,2,0,1,38,1,0,1,36,3,0,1,37,2,0,1,39,0,0,1,38,0,0,2,31,7,0,2,39,1,0,0,1,0,7,2,11,0,0,0,2,0,0,0,0,2,0,0,1,0,0,6,0,1,0,1,0,1,5,4,1,0,3,0,4,13,13,0,0,12,4,1,7,0,2,12,10,0,4,8,14,0,4,9,12,0,5,7,16,0,3,14,5,3,0,4,17,5,0,4,20,0,6,21,0,5,13,4,7,0,2,0,0,0,23,0,3,23,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,22,0,4,24,0,0,2,24,0,0,2,24,0,0,2,23,1,0,2,24,0,0,2,23,1,0,2,23,0,0,3,22,1,0,3,24,0,0,2,22,2,0,2,22,1,0,3
ATASC,8,VB #8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATASC,8,VB #8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
ATASC,8,VB #8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATASC,9,VB #9,0,0,0,0,25,19,6,0,0,0,19,0,0,0,0,0,0,0,0,2,1,13,1,1,0,1,19,0,0,16,2,0,1,19,0,0,19,0,0,19,0,0,18,0,1,13,5,0,1,19,0,0,19,0,0,19,0,0,0,0,0,19,0,0,19,0,0,19,0,0,19,0,0,19,0,0,15,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,2,0,0,14,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,17,2,0,0,18,1,0,0,18,1,0,0,14,5,0,0,18,1,0,0,18,1,0,0,19,0,0,0,19,0,0,0,17,2,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,2,0,0,1,0,1,0,0,2,4,0,0,3,1,2,0,0,0,4,2,0,0,1,5,0,0,3,3,0,0,3,3,0,0,3,2,1,0,0,5,1,0,0,6,0,0,6,0,0,0,0,0,0,0,6,0,0,6,0,0,6,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,4,2,0,0,5,1,0,0,5,1,0,0,5,1,0,0,5,1,0,0,5,1,0,0,5,1,0,0,5,1,0,0,5,1,0,0,5,1,0,0,4,2,0,0
