COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST - Republican Party,"REP US Rep, District 13",REP Governor,REP Governor,REP Governor,REP Governor,REP Governor,REP Governor,REP Governor,REP Governor,REP Lieutenant Governor,REP Lieutenant Governor,REP Lieutenant Governor,REP Lieutenant Governor,REP Lieutenant Governor,REP Lieutenant Governor,REP Attorney General,REP Attorney General,REP Attorney General,REP Attorney General,REP Comptroller of Public Accounts,REP Comptroller of Public Accounts,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Commissioner of Agriculture,REP Commissioner of Agriculture,REP Commissioner of Agriculture,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,"REP Justice, Supreme Court, Pl 3","REP Justice, Supreme Court, Pl 5","REP Justice, Supreme Court, Pl 9","REP Justice, Supreme Court, Pl 9","REP Judge, Ct of Crim App, Pl 2","REP Judge, Ct of Crim App, Pl 5","REP Judge, Ct of Crim App, Pl 5","REP Judge, Ct of Crim App, Pl 6","REP Member, State BoE, Dist 15","REP Member, State BoE, Dist 15","REP State Senator, Dist 31","REP State Senator, Dist 31","REP State Senator, Dist 31","REP State Senator, Dist 31","REP State Representative, Dist 87","REP Justice, 7th Ct of App Dist, Pl 4","REP Dist Judge, 316th Judicial Dist",REP County Judge,REP District Clerk,REP County Clerk,REP County Clerk,REP County Treasurer,REP County Commissioner Pct 2,REP County Commissioner Pct 2,REP County Commissioner Pct 4,REP County Commissioner Pct 4,REP JOP Pct 1,REP JOP Pct 2,REP JOP Pct 2,REP County Chair,REP Proposition 1,REP Proposition 1,REP Proposition 2,REP Proposition 2,REP Proposition 3,REP Proposition 3,REP Proposition 4,REP Proposition 4,REP Proposition 5,REP Proposition 5,REP Proposition 6,REP Proposition 6,REP Proposition 7,REP Proposition 7,REP Proposition 8,REP Proposition 8,REP Proposition 9,REP Proposition 9,REP Proposition 10,REP Proposition 10,
,,,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,
,,,VOTERS,BALLOTS CAST,Ronny Jackson,Greg Abbott,Chad Prather,Kandy Kaye Horn,Danny Harrison,Paul Belew,Rick Perry,Allen B. West,Don Huffines,Todd M. Bullis,Aaron Sorrells,Dan Patrick,Trayce Bradford,Zach Vance,Daniel Miller,George P. Bush,Eva Guzman,Louie Gohmert,Ken Paxton,Glenn Hegar,Mark V. Goloby,Rufus Lopez,Jon Spiers,Weston Martinez,Don W. Minton,Ben Armenta,Dawn Buckingham,Victor Avila,Tim Westley,James White,Sid Miller,Carey A. Counsil,Dawayne Tipton,Tom Slocum Jr,Sarah Stogner,"Marvin ""Sarge"" Summers",Wayne Christian,Debra Lehrmann,Rebeca Huddle,David J. Schenck,Evan Young,Mary Lou Keel,Clint Morgan,Scott Walker,"Jesse F. McClure, III",Jay Johnson,Aaron Kinsey,Kevin Sparks,Tim Reid,Stormy Bradley,Jesse Quackenbush,Four Price,Larry Doss,James Mosley,Cindy Irwin,Tammy McBrayer,Kelly Ratliff,Jenny Ligon,Amy Scroggs Back,Lisa Litterell Smith,Dwight Kirksey,Jesse Shuffield,Chris Prock,Leslie Litterell Ford,Evely Rubalcaba,Yadi Rodriguez,Mary Kay Phelan,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,
HUTCH,0001,Precinct 11,1758,15,13,14,0,0,0,0,0,1,0,0,0,14,1,0,0,4,3,0,7,10,2,3,0,1,1,0,5,1,1,3,8,2,1,0,4,1,6,14,12,5,8,14,5,7,12,4,9,10,1,1,2,14,12,14,15,15,10,4,14,0,0,0,0,0,2,11,10,12,1,7,5,7,4,11,1,10,1,8,4,12,0,13,0,10,3,10,2,
HUTCH,0001,Precinct 11,1758,219,191,169,7,2,1,1,5,10,22,21,4,150,6,5,15,62,43,5,102,152,23,43,24,4,25,6,57,6,22,67,116,10,52,21,16,17,83,182,180,101,74,172,91,82,172,89,94,112,39,26,23,189,180,194,197,182,133,58,179,0,0,0,0,0,57,159,193,203,12,150,59,191,26,197,15,193,21,176,34,210,4,201,9,190,22,204,5,
HUTCH,0001,Precinct 11,1758,215,194,141,17,5,1,0,1,33,15,17,5,148,7,15,10,54,43,17,95,147,26,26,18,5,28,2,55,14,32,77,96,14,51,25,24,19,64,180,179,129,49,177,95,84,174,99,77,109,45,29,21,195,175,188,194,183,140,54,177,0,0,0,0,0,68,146,185,194,20,160,48,201,12,196,16,189,21,168,39,210,4,201,10,178,35,197,12,
HUTCH,0002,Precinct 14,1761,18,17,15,1,0,0,0,1,0,1,0,0,16,1,1,0,5,3,3,7,12,2,2,3,0,4,0,6,0,1,7,9,1,3,2,1,0,10,16,16,9,8,17,9,8,17,4,11,10,3,3,2,18,18,17,17,18,15,2,16,0,0,0,0,0,1,16,13,17,0,16,1,14,2,15,1,16,1,15,2,16,1,15,2,16,0,15,1,
HUTCH,0002,Precinct 14,1761,269,250,208,10,2,3,1,5,18,19,17,18,182,11,9,9,59,46,26,131,169,35,32,30,4,25,1,91,9,33,91,126,16,66,24,27,28,82,212,213,131,82,206,94,114,206,118,99,161,43,21,26,237,207,237,244,229,153,93,228,0,0,0,0,0,86,180,230,249,16,181,76,247,21,248,18,229,36,209,54,259,9,249,18,223,44,242,23,
HUTCH,0002,Precinct 14,1761,252,229,179,13,3,0,2,7,24,24,12,6,179,7,8,9,65,34,22,122,169,31,18,30,6,34,3,65,13,29,74,114,19,71,30,23,18,61,200,197,134,60,184,92,102,186,113,83,138,39,26,25,210,194,210,224,206,132,91,206,0,0,0,0,0,71,174,204,233,16,188,52,233,15,234,13,223,24,195,44,239,8,230,16,213,35,230,16,
HUTCH,0003,Precinct 21,3307,14,8,13,0,0,0,0,1,0,0,0,0,14,0,0,0,1,3,1,9,13,0,0,0,1,2,0,3,2,4,5,9,0,3,1,1,1,7,8,9,6,6,10,2,10,11,7,4,7,2,0,4,11,9,10,11,11,11,0,10,4,10,0,0,0,5,6,11,13,1,9,3,11,3,13,1,10,2,10,3,13,0,13,1,9,3,12,2,
HUTCH,0003,Precinct 21,3307,503,459,367,42,4,3,1,9,34,37,32,17,357,11,12,30,103,83,35,256,357,51,45,50,13,62,2,152,19,66,167,238,27,140,48,51,42,149,393,401,244,163,386,207,204,395,227,192,278,63,74,56,449,399,426,447,428,371,94,415,188,298,0,0,0,116,371,429,482,10,364,124,456,44,477,22,456,38,409,73,490,6,481,13,439,59,467,25,
HUTCH,0003,Precinct 21,3307,323,292,204,35,3,3,1,6,40,27,23,18,206,12,7,21,71,52,52,128,207,43,21,34,7,52,3,65,16,48,103,146,16,80,34,33,31,89,251,248,152,98,237,112,138,243,141,118,167,54,31,38,272,240,253,268,251,235,48,243,132,178,0,0,0,85,217,250,310,8,244,71,302,19,296,20,289,30,256,56,315,6,310,11,276,41,309,6,
HUTCH,0004,Precinct 23,636,6,6,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,5,5,0,0,2,0,0,0,2,1,0,2,4,0,1,0,2,0,2,5,5,4,1,5,3,2,5,0,5,5,0,0,0,5,5,5,5,5,5,0,5,1,4,0,0,0,0,6,5,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,
HUTCH,0004,Precinct 23,636,56,50,37,4,0,0,0,4,8,3,4,1,40,2,1,4,13,7,9,26,36,8,6,13,2,7,1,10,2,2,13,28,3,16,4,2,1,21,44,45,32,12,44,23,15,40,23,19,34,4,6,4,50,42,49,49,48,33,16,44,28,28,0,0,0,18,36,51,55,0,42,12,50,5,53,1,55,0,40,11,55,0,52,3,51,3,53,1,
HUTCH,0004,Precinct 23,636,57,53,35,7,0,0,1,2,6,5,2,3,39,3,3,4,11,14,4,27,37,9,5,5,4,14,0,14,0,3,17,29,1,12,6,6,6,20,45,44,30,17,44,24,19,45,22,28,29,9,7,7,50,42,46,50,46,35,17,50,18,35,0,0,0,15,39,51,53,2,42,11,48,7,52,2,49,5,52,2,54,1,52,2,45,10,52,2,
HUTCH,0005,Precinct 31,1625,14,11,9,3,0,0,0,0,1,1,1,2,7,1,0,3,3,3,3,5,11,1,1,3,0,0,0,5,0,2,6,5,2,3,2,2,1,5,11,12,4,7,12,8,5,12,6,7,8,4,1,0,12,12,12,12,11,6,6,12,0,0,0,0,12,0,0,11,13,1,6,8,14,0,12,1,10,4,10,3,14,0,14,0,7,6,13,1,
HUTCH,0005,Precinct 31,1625,214,184,133,21,3,1,0,9,28,11,13,16,123,7,8,12,55,38,20,81,127,27,27,28,7,23,1,45,10,28,58,99,16,37,25,27,19,59,160,158,102,61,152,70,88,152,87,79,105,43,21,24,180,159,175,182,174,76,131,182,0,0,0,0,180,0,0,165,194,12,136,57,191,14,190,14,179,22,159,35,195,8,196,8,154,48,181,19,
HUTCH,0005,Precinct 31,1625,246,221,135,46,3,0,0,6,36,14,21,9,141,18,21,13,47,42,37,102,158,23,17,35,9,21,6,38,9,44,68,122,15,56,23,24,24,63,175,176,119,55,170,84,88,166,104,74,115,58,25,17,205,170,192,213,195,84,141,200,0,0,0,0,198,0,0,192,242,2,178,59,233,12,226,16,225,17,208,29,244,1,231,12,175,66,224,11,
HUTCH,0006,Precinct 33,1504,9,8,7,1,0,0,0,1,0,0,0,0,7,0,0,1,0,5,0,4,6,1,0,2,0,1,0,2,0,1,3,4,1,1,0,0,0,6,7,7,0,6,7,1,6,7,3,5,5,1,1,2,8,7,7,7,7,7,1,6,0,0,0,0,7,0,0,7,8,0,7,1,8,0,8,0,5,3,5,3,9,0,9,0,6,3,6,3,
HUTCH,0006,Precinct 33,1504,157,144,119,5,0,0,0,5,9,19,9,7,113,3,7,8,32,20,13,85,110,15,22,20,3,19,3,41,5,16,61,71,6,28,10,17,17,63,133,129,89,47,127,75,54,128,71,64,87,21,27,11,142,129,140,141,141,97,46,136,0,0,0,0,137,0,0,135,146,6,113,36,137,14,144,8,136,15,127,24,150,2,145,8,135,18,146,4,
HUTCH,0006,Precinct 33,1504,110,102,76,7,1,0,0,2,8,14,12,4,67,4,10,5,28,19,10,48,65,16,16,15,6,16,1,23,7,8,33,52,7,17,14,5,13,41,87,85,55,32,87,37,47,86,49,39,62,16,14,10,95,84,90,93,88,63,30,89,0,0,0,0,92,0,0,87,99,9,73,33,99,10,95,12,102,6,93,13,105,2,101,6,98,9,100,7,
HUTCH,0007,Precinct 41,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HUTCH,0007,Precinct 41,70,12,10,6,1,0,1,0,0,2,2,2,0,7,1,1,0,5,2,0,5,9,2,0,0,1,2,0,6,0,1,3,5,2,1,1,0,1,6,6,6,1,6,5,1,6,6,3,6,9,1,0,2,10,6,9,7,6,6,4,8,0,0,4,7,8,0,0,8,10,2,7,5,10,2,10,2,10,2,8,4,10,2,10,2,8,4,10,2,
HUTCH,0007,Precinct 41,70,15,13,9,3,0,0,0,0,3,0,0,3,9,0,0,0,2,1,3,7,10,1,0,3,0,2,0,5,0,2,2,10,0,1,1,2,1,8,12,11,7,6,11,7,5,11,7,3,9,0,2,2,11,11,12,11,11,8,3,11,0,0,5,8,11,0,0,11,13,2,12,2,13,1,14,1,12,2,10,2,13,1,13,0,13,1,13,1,
HUTCH,0008,Precinct 42,2567,14,11,11,0,0,0,0,2,0,1,1,0,11,1,1,0,6,2,1,5,7,2,1,0,0,2,0,3,0,3,4,7,1,4,0,2,2,3,9,9,6,4,9,7,4,10,6,5,5,2,3,4,13,8,10,13,10,8,4,10,0,0,4,10,12,0,0,11,13,0,12,1,13,1,13,0,11,1,11,1,13,0,13,0,13,1,14,0,
HUTCH,0008,Precinct 42,2567,169,151,124,11,1,0,1,6,11,13,11,9,110,6,5,7,41,38,19,67,121,13,30,18,7,24,0,39,6,12,55,78,9,34,20,10,13,60,127,131,77,53,127,65,61,128,72,62,98,30,16,13,146,131,148,149,145,105,44,137,0,0,52,112,149,0,0,139,154,10,115,43,150,18,144,17,143,18,142,17,163,3,153,10,144,21,155,8,
HUTCH,0008,Precinct 42,2567,166,147,124,12,0,1,0,4,8,13,23,7,94,9,6,5,45,23,14,71,102,20,27,15,1,18,2,34,6,23,57,61,15,52,7,21,21,35,131,134,84,46,128,60,71,129,84,47,83,29,13,22,142,131,144,144,137,96,41,134,0,0,44,115,145,0,0,140,149,14,124,33,153,11,150,12,147,13,131,24,157,4,153,10,142,18,159,4,
HUTCH,ZZZ,COUNTY TOTALS,13228,3073,2764,2141,246,27,14,8,76,280,241,221,129,2040,111,120,156,712,525,294,1395,2040,351,342,348,81,382,31,766,126,381,976,1437,183,730,298,300,276,943,2408,2407,1521,901,2331,1172,1220,2341,1339,1130,1646,507,347,315,2664,2371,2588,2693,2547,1829,928,2512,371,553,109,252,951,524,1361,2538,2868,144,2192,740,2787,241,2804,193,2705,282,2448,477,2952,62,2861,141,2551,450,2818,155,